;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1901;176;MT;117767;D;18;0;;0.18280;12.41660;0.11617;Azul;515;;0
1324;118;CN;117868;E;25;0;;0.05808;8.96186;0.22071;Azul;503;;0
1414;127;CN;111545;E;9;0;;0.54124;3.79854;0.17374;Azul;503;;0
1693;155;MT;83754;E;2;0;;3.93635;3.78057;0.19828;Azul;515;;0
1164;102;CN;117883;B;7;0;;0.38139;3.36471;0.06869;Azul;503;;0
1882;174;MT;78445;C;26;0;;5.31206;3.34343;0.16052;Azul;515;;0
1532;139;MT;111696;A;15;0;;2.05561;3.05197;0.11848;Azul;515;;0
1645;151;MT;28434;A;16;0;;2.45024;3.01267;0.14322;Azul;515;;0
1855;172;MT;8442;D;25;0;;1.51000;3.00300;0.14700;Azul;515;;0
1811;167;MT;31184;C;29;0;;2.66200;2.95700;0.06800;Azul;515;;0
482;39;LC;118246;B;17;0;;0.98835;2.90060;0.22558;Azul;511;;0
1924;178;MT;111593;B;25;0;;4.12689;2.88940;0.12635;Azul;515;;0
1554;141;MT;117612;B;17;0;;1.94459;2.78766;0.16241;Azul;515;;0
1795;166;MT;10360;D;8;0;;1.52296;2.72201;0.36496;Azul;515;;0
1702;156;MT;39708;C;3;0;;2.45518;2.61221;0.15911;Azul;515;;0
1755;162;MT;14324;D;10;0;;3.81430;2.48432;0.09189;Azul;515;;0
1404;126;CN;111601;B;5;0;;7.09582;2.42384;0.23686;Azul;503;;0
1714;157;MT;117950;A;7;0;;3.76775;2.42062;0.20831;Azul;515;;0
1257;112;CN;49600;D;23;0;;1.14904;2.36402;0.11480;Azul;503;;0
1669;153;MT;30570;E;3;0;;3.17618;2.35696;0.27294;Azul;515;;0
549;45;LC;118192;B;25;0;;3.36624;2.31528;0.19736;Azul;511;;0
1887;175;MT;17642;D;8;0;;2.24304;2.30004;0.20665;Azul;515;;0
986;85;CH;111820;B;5;0;;1.43499;2.25728;0.06711;Azul;507;;0
535;44;LC;118103;E;27;0;;2.38734;2.25308;0.15051;Azul;511;;0
1506;137;MT;9779;E;21;0;;2.28700;2.21700;0.08500;Azul;515;;0
1092;95;CN;117746;A;9;0;;1.21390;2.21432;0.09924;Azul;503;;0
1235;110;CN;14273;D;13;0;;3.90297;2.19782;0.05798;Azul;503;;0
1340;120;CN;54381;A;18;0;;3.20714;2.14905;0.08067;Azul;503;;0
1634;149;MT;117725;D;24;0;;1.20999;2.11115;0.06509;Azul;515;;0
1678;154;MT;84374;C;21;0;;1.72060;2.05336;0.18597;Azul;515;;0
1354;121;CN;117979;B;6;0;;1.19339;2.04675;0.26041;Azul;503;;0
999;86;CH;96596;B;7;0;;1.69675;2.03032;0.19839;Azul;507;;0
1844;170;MT;117783;B;14;0;;1.96646;2.01615;0.15470;Azul;515;;0
1254;111;CN;97169;A;20;0;;5.93339;1.98881;0.13188;Azul;503;;0
1557;142;MT;63808;E;9;0;;2.89605;1.98685;0.08712;Azul;515;;0
1834;169;MT;117818;A;9;0;;1.62365;1.98136;0.18076;Azul;515;;0
1769;163;MT;18002;C;4;0;;3.41848;1.95818;0.16938;Azul;515;;0
1736;160;MT;8368;C;28;0;;2.17954;1.95289;0.13818;Azul;515;;0
1611;147;MT;30740;B;12;0;;1.64938;1.94549;0.20724;Azul;515;;0
1198;106;CN;83441;D;17;0;;4.60881;1.94111;0.12462;Azul;503;;0
1851;171;MT;83792;E;2;0;;1.25552;1.93449;0.06675;Azul;515;;0
1604;146;MT;117798;A;26;0;;2.72919;1.92868;0.23186;Azul;515;;0
1874;173;MT;89634;E;28;0;;2.59370;1.91179;0.07742;Azul;515;;0
884;76;CH;81689;D;23;0;;2.34674;1.87883;0.11625;Azul;507;;0
1749;161;MT;13303;B;27;0;;3.10730;1.87878;0.18717;Azul;515;;0
1225;109;CN;7629;B;20;0;;0.75316;1.83643;0.10672;Azul;503;;0
911;78;CH;118024;E;4;0;;2.44871;1.81367;0.12029;Azul;507;;0
1450;131;CN;111705;B;2;0;;1.78669;1.78124;0.20473;Azul;503;;0
781;67;CH;66219;A;1;0;;1.47100;1.73902;0.23765;Azul;507;;0
1388;125;CN;83526;C;16;0;;1.62997;1.70518;0.16280;Azul;503;;0
809;69;CH;88194;E;19;0;;1.35668;1.69195;0.10234;Azul;507;;0
1313;117;CN;89515;C;21;0;;3.14647;1.67856;0.32644;Azul;503;;0
1219;108;CN;78504;C;24;0;;3.20779;1.67408;0.16383;Azul;503;;0
1416;128;CN;19407;E;17;0;;2.32962;1.67314;0.14993;Azul;503;;0
1489;135;CN;84568;C;1;0;;2.42831;1.66707;0.29842;Azul;503;;0
205;14;LC;118232;E;16;0;;0.78671;1.66055;0.07838;Azul;511;;0
599;50;CH;86751;C;23;0;;3.45284;1.65017;0.09484;Azul;507;;0
1911;177;MT;83955;D;21;0;;2.58330;1.63345;0.16356;Azul;515;;0
1524;138;MT;111608;E;5;0;;2.47366;1.61606;0.04665;Azul;515;;0
1432;129;CN;89772;C;7;0;;0.67587;1.59601;0.02169;Azul;503;;0
1376;124;CN;81478;B;8;0;;2.37739;1.59193;0.20921;Azul;503;;0
1464;132;CN;117875;D;1;0;;1.78539;1.58564;0.13602;Azul;503;;0
285;21;LC;118256;D;17;0;;1.92141;1.54986;0.12387;Azul;511;;0
1642;150;MT;84409;B;23;0;;1.77601;1.53793;0.14814;Azul;515;;0
1815;168;MT;8401;D;19;0;;2.25899;1.51757;0.09598;Azul;515;;0
862;74;CH;87709;C;3;0;;2.06585;1.48052;0.17341;Azul;507;;0
1790;165;MT;117743;E;19;0;;3.95880;1.47023;0.11919;Azul;515;;0
642;54;CH;84888;B;15;0;;2.31070;1.45829;0.17477;Azul;507;;0
1064;92;CN;117836;A;23;0;;1.87838;1.45214;0.07496;Azul;503;;0
337;26;LC;118235;E;22;0;;1.44895;1.42761;0.14063;Azul;511;;0
1734;159;MT;117726;D;30;0;;2.31939;1.41653;0.07186;Azul;515;;0
1777;164;MT;42803;C;13;0;;2.30372;1.40103;0.13792;Azul;515;;0
1273;113;CN;96556;A;21;0;;1.66258;1.37670;0.17468;Azul;503;;0
940;81;CH;89147;B;18;0;;3.04427;1.36609;0.23176;Azul;507;;0
768;65;CH;97975;A;1;0;;1.45676;1.36180;0.21595;Azul;507;;0
690;58;CH;88306;B;23;0;;1.78628;1.34891;0.18079;Azul;507;;0
570;47;CH;118054;A;28;0;;2.07127;1.34720;0.07736;Azul;507;;0
657;55;CH;88233;A;15;0;;1.39689;1.31818;0.11442;Azul;507;;0
1724;158;MT;117845;C;11;0;;3.18490;1.31578;0.14485;Azul;515;;0
1191;105;CN;82236;D;22;0;;2.77263;1.28601;0.13618;Azul;503;;0
1664;152;MT;117607;B;16;0;;2.28084;1.24447;0.12125;Azul;515;;0
114;6;LC;86563;B;3;0;;0.92314;1.22467;0.09006;Azul;511;;0
467;38;LC;118028;D;29;0;;2.78473;1.21063;0.13942;Azul;511;;0
920;79;CH;97013;A;24;0;;0.73411;1.20733;0.01008;Azul;507;;0
1940;180;MT;83994;A;4;0;;1.78432;1.16670;0.04550;Azul;515;;0
1435;130;CN;24104;E;3;0;;3.41094;1.15715;0.16829;Azul;503;;0
852;73;CH;88308;C;3;0;;1.40104;1.15692;0.09673;Azul;507;;0
362;28;LC;118278;B;16;0;;2.48291;1.15452;0.08973;Azul;511;;0
1933;179;MT;111518;A;20;0;;1.57287;1.15345;0.11072;Azul;515;;0
1048;91;CN;82364;A;27;0;;2.43167;1.13773;0.22233;Azul;503;;0
737;63;CH;33960;B;14;0;;3.73216;1.13742;0.16303;Azul;507;;0
515;42;LC;118299;D;18;0;;3.76828;1.13537;0.08402;Azul;511;;0
319;25;LC;14169;B;14;0;;3.00635;1.13504;0.10103;Azul;511;;0
1015;88;CH;95648;C;8;0;;2.21046;1.12907;0.18621;Azul;507;;0
559;46;CH;111894;B;27;0;;2.21881;1.10809;0.13721;Azul;507;;0
1474;133;CN;117642;A;2;0;;1.92967;1.07472;0.22014;Azul;503;;0
898;77;CH;118029;B;5;0;;2.63717;1.07054;0.22582;Azul;507;;0
296;22;LC;118306;A;16;0;;2.85223;1.04200;0.12609;Azul;511;;0
427;34;LC;118134;A;26;0;;3.34867;1.04002;0.20217;Azul;511;;0
1032;89;CH;118038;D;26;0;;3.49023;1.02573;0.18725;Azul;507;;0
1167;103;CN;82490;C;19;0;;1.75058;1.02204;0.23374;Azul;503;;0
708;60;CH;84769;E;11;0;;2.20133;1.01836;0.12996;Azul;507;;0
664;56;CH;86934;D;17;0;;0.61655;1.00168;0.04145;Azul;507;;0
1334;119;CN;117890;B;6;0;;1.85268;0.99689;0.12401;Azul;503;;0
171;11;LC;118207;D;11;0;;1.28486;0.98541;0.11899;Azul;511;;0
1299;116;CN;55328;B;15;0;;0.54974;0.97948;0.05877;Azul;503;;0
197;13;LC;90165;B;15;0;;3.81799;0.97593;0.19228;Azul;511;;0
924;80;CH;11601;D;15;0;;1.20499;0.97500;0.14600;Azul;507;;0
