;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
723;61;CH;111820;B;5;0;;1.43499;2.25728;0.06711;Branca;509;;0
735;62;CH;96596;B;7;0;;1.69675;2.03032;0.19839;Branca;509;;0
858;74;CH;81689;D;23;0;;2.34674;1.87883;0.11625;Branca;509;;0
1011;87;CH;118024;E;4;0;;2.44871;1.81367;0.12029;Branca;509;;0
573;48;CH;66219;A;1;0;;1.47100;1.73902;0.23765;Branca;509;;0
953;82;CH;88194;E;19;0;;1.35668;1.69195;0.10234;Branca;509;;0
643;54;CH;86751;C;23;0;;3.45284;1.65017;0.09484;Branca;509;;0
845;72;CH;87709;C;3;0;;2.06585;1.48052;0.17341;Branca;509;;0
894;77;CH;84888;B;15;0;;2.31070;1.45829;0.17477;Branca;509;;0
1040;90;CH;89147;B;18;0;;3.04427;1.36609;0.23176;Branca;509;;0
558;46;CH;97975;A;1;0;;1.45676;1.36180;0.21595;Branca;509;;0
938;81;CH;88306;B;23;0;;1.78628;1.34891;0.18079;Branca;509;;0
802;68;CH;118054;A;28;0;;2.07127;1.34720;0.07736;Branca;509;;0
907;78;CH;88233;A;15;0;;1.39689;1.31818;0.11442;Branca;509;;0
1019;88;CH;97013;A;24;0;;0.73411;1.20733;0.01008;Branca;509;;0
829;71;CH;88308;C;3;0;;1.40104;1.15692;0.09673;Branca;509;;0
616;52;CH;33960;B;14;0;;3.73216;1.13742;0.16303;Branca;509;;0
757;64;CH;95648;C;8;0;;2.21046;1.12907;0.18621;Branca;509;;0
791;67;CH;111894;B;27;0;;2.21881;1.10809;0.13721;Branca;509;;0
1000;86;CH;118029;B;5;0;;2.63717;1.07054;0.22582;Branca;509;;0
769;65;CH;118038;D;26;0;;3.49023;1.02573;0.18725;Branca;509;;0
885;76;CH;84769;E;11;0;;2.20133;1.01836;0.12996;Branca;509;;0
915;79;CH;86934;D;17;0;;0.61655;1.00168;0.04145;Branca;509;;0
1023;89;CH;11601;D;15;0;;1.20499;0.97500;0.14600;Branca;509;;0
680;57;CH;118034;B;9;0;;2.89911;0.93429;0.16213;Branca;509;;0
604;50;CH;118022;E;26;0;;3.17381;0.77149;0.09188;Branca;509;;0
590;49;CH;111877;C;10;0;;2.54319;0.68737;0.16087;Branca;509;;0
878;75;CH;118033;C;6;0;;3.33353;0.65950;0.32563;Branca;509;;0
967;83;CH;118125;E;21;0;;1.14176;0.61713;0.00161;Branca;509;;0
982;85;CH;85139;B;24;0;;2.89534;0.60872;0.22906;Branca;509;;0
702;59;CH;96447;D;20;0;;3.56414;0.51626;0.13663;Branca;509;;0
688;58;CH;84811;A;2;0;;2.78428;0.48121;0.18255;Branca;509;;0
934;80;CH;118158;C;6;0;;2.22546;0.46653;0.15939;Branca;509;;0
571;47;CH;118108;C;22;0;;2.80224;0.44492;0.21353;Branca;509;;0
816;70;CH;66498;C;30;0;;1.31749;0.44063;0.18259;Branca;509;;0
857;73;CH;112135;A;27;0;;2.05925;0.34452;0.21848;Branca;509;;0
740;63;CH;84147;A;25;0;;2.06700;0.32546;0.20034;Branca;509;;0
713;60;CH;96302;B;7;0;;1.13705;0.24894;0.00655;Branca;509;;0
972;84;CH;87057;D;20;0;;1.22262;0.24530;0.17471;Branca;509;;0
614;51;CH;111844;E;11;0;;2.33881;0.22143;0.04965;Branca;509;;0
653;55;CH;83820;B;12;0;;2.24266;0.19945;0.14787;Branca;509;;0
661;56;CH;77940;A;16;0;;1.69265;-0.16281;0.19993;Branca;509;;0
627;53;CH;78903;C;11;0;;1.56820;-0.25115;0.00814;Branca;509;;0
770;66;CH;76955;B;27;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Branca;509;;0
813;69;CH;118067;C;29;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Branca;509;;0
