;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1852;171;MT;117767;D;18;0;;0.18280;12.41660;0.11617;Cinza;518;;0
1392;125;CN;117868;E;25;0;;0.05808;8.96186;0.22071;Cinza;505;;0
1180;104;CN;111545;E;9;0;;0.54124;3.79854;0.17374;Cinza;505;;0
1871;173;MT;83754;E;2;0;;3.93635;3.78057;0.19828;Cinza;518;;0
1262;112;CN;117883;B;7;0;;0.38139;3.36471;0.06869;Cinza;505;;0
1929;179;MT;78445;C;26;0;;5.31206;3.34343;0.16052;Cinza;518;;0
1912;177;MT;111696;A;15;0;;2.05561;3.05197;0.11848;Cinza;518;;0
1608;147;MT;28434;A;16;0;;2.45024;3.01267;0.14322;Cinza;518;;0
1805;167;MT;8442;D;25;0;;1.51000;3.00300;0.14700;Cinza;518;;0
1757;162;MT;31184;C;29;0;;2.66200;2.95700;0.06800;Cinza;518;;0
1941;180;MT;111593;B;25;0;;4.12689;2.88940;0.12635;Cinza;518;;0
1512;137;MT;117612;B;17;0;;1.94459;2.78766;0.16241;Cinza;518;;0
1746;161;MT;10360;D;8;0;;1.52296;2.72201;0.36496;Cinza;518;;0
1879;174;MT;39708;C;3;0;;2.45518;2.61221;0.15911;Cinza;518;;0
1706;157;MT;14324;D;10;0;;3.81430;2.48432;0.09189;Cinza;518;;0
1172;103;CN;111601;B;5;0;;7.09582;2.42384;0.23686;Cinza;505;;0
1892;175;MT;117950;A;7;0;;3.76775;2.42062;0.20831;Cinza;518;;0
1326;119;CN;49600;D;23;0;;1.14904;2.36402;0.11480;Cinza;505;;0
1629;149;MT;30570;E;3;0;;3.17618;2.35696;0.27294;Cinza;518;;0
1836;170;MT;17642;D;8;0;;2.24304;2.30004;0.20665;Cinza;518;;0
1655;152;MT;9779;E;21;0;;2.28700;2.21700;0.08500;Cinza;518;;0
1152;101;CN;117746;A;9;0;;1.21390;2.21432;0.09924;Cinza;505;;0
1306;117;CN;14273;D;13;0;;3.90297;2.19782;0.05798;Cinza;505;;0
1240;110;CN;54381;A;18;0;;3.20714;2.14905;0.08067;Cinza;505;;0
1591;145;MT;117725;D;24;0;;1.20999;2.11115;0.06509;Cinza;518;;0
1639;150;MT;84374;C;21;0;;1.72060;2.05336;0.18597;Cinza;518;;0
1202;106;CN;117979;B;6;0;;1.19339;2.04675;0.26041;Cinza;505;;0
1791;165;MT;117783;B;14;0;;1.96646;2.01615;0.15470;Cinza;518;;0
1320;118;CN;97169;A;20;0;;5.93339;1.98881;0.13188;Cinza;505;;0
1519;138;MT;63808;E;9;0;;2.89605;1.98685;0.08712;Cinza;518;;0
1782;164;MT;117818;A;9;0;;1.62365;1.98136;0.18076;Cinza;518;;0
1715;158;MT;18002;C;4;0;;3.41848;1.95818;0.16938;Cinza;518;;0
1685;155;MT;8368;C;28;0;;2.17954;1.95289;0.13818;Cinza;518;;0
1569;143;MT;30740;B;12;0;;1.64938;1.94549;0.20724;Cinza;518;;0
1301;116;CN;83441;D;17;0;;4.60881;1.94111;0.12462;Cinza;505;;0
1801;166;MT;83792;E;2;0;;1.25552;1.93449;0.06675;Cinza;518;;0
1562;142;MT;117798;A;26;0;;2.72919;1.92868;0.23186;Cinza;518;;0
1919;178;MT;89634;E;28;0;;2.59370;1.91179;0.07742;Cinza;518;;0
1697;156;MT;13303;B;27;0;;3.10730;1.87878;0.18717;Cinza;518;;0
1355;122;CN;7629;B;20;0;;0.75316;1.83643;0.10672;Cinza;505;;0
1111;97;CN;111705;B;2;0;;1.78669;1.78124;0.20473;Cinza;505;;0
1129;99;CN;83526;C;16;0;;1.62997;1.70518;0.16280;Cinza;505;;0
1379;124;CN;89515;C;21;0;;3.14647;1.67856;0.32644;Cinza;505;;0
1346;121;CN;78504;C;24;0;;3.20779;1.67408;0.16383;Cinza;505;;0
1186;105;CN;19407;E;17;0;;2.32962;1.67314;0.14993;Cinza;505;;0
1080;94;CN;84568;C;1;0;;2.42831;1.66707;0.29842;Cinza;505;;0
1862;172;MT;83955;D;21;0;;2.58330;1.63345;0.16356;Cinza;518;;0
1671;153;MT;111608;E;5;0;;2.47366;1.61606;0.04665;Cinza;518;;0
1089;95;CN;89772;C;7;0;;0.67587;1.59601;0.02169;Cinza;505;;0
1118;98;CN;81478;B;8;0;;2.37739;1.59193;0.20921;Cinza;505;;0
1052;91;CN;117875;D;1;0;;1.78539;1.58564;0.13602;Cinza;505;;0
1601;146;MT;84409;B;23;0;;1.77601;1.53793;0.14814;Cinza;518;;0
