;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
504.00000;925530;204766;227954;169352;270798;155652;476080;302052;254655;462936;240046;112705;369789;382605;209149;392099;76791;117944;165569;221972;317194;400569;359918;307515;461870;452210;173234;119449;463472;179951;253150;320881;225146;312147;301648;154421;404442;229255;192968;180856;316326;274255;259174;219669;216689;204584
510.00000;977435;287218;521894;257809;633090;240201;435442;575419;472354;498724;429162;494051;135018;128582;556178;593891;291182;307758;267466;528362;185744;505756;281109;231779;502798;311663;286186;587567;274388;184253;177322;457892;323274;496511;369448;403074;310513;154870;335907;369799;287255;237507;290892;343142;443041;318533
513.00000;977435;506440;374073;544469;510511;392159;400373;621507;359490;598219;427658;398038;166092;649932;347855;811955;584580;215032;790457;230796;260595;315519;705458;433825;298094;660754;287012;344589;284024;307973;475405;482605;151396;193148;281081;521659;80820;269048;529959;325241;217850;462596;306923;194046;401603;471270
516.00000;925530;227756;193403;170060;514336;140800;171709;338633;293588;454344;181899;131427;347278;563065;144265;151397;293953;254841;508797;201779;281427;150878;297259;286207;246193;184921;165001;206058;256176;141539;227535;199705;232081;175499;214808;253016;223976;358233;109966;216374;248686;126264;158313;146496;219345;188492
505.00000;933535;163602;340460;297599;287622;230779;226480;203861;225480;207399;308120;152797;440055;223523;248687;173396;282963;293265;452481;243264;114477;320970;227112;307626;462948;178702;130557;96749;122761;174078;452878;170055;251436;330925;295689;448338;239658;294598;372738;381722;351821;211604;399125;265136;167180;421701
508.00000;986473;124134;602717;640774;299340;506736;444569;478525;125611;534713;314766;298979;498713;255399;611496;253199;310261;377970;476523;341903;220230;424957;554668;461885;329113;154152;353043;383015;293894;231840;482595;312240;285738;571953;276334;186234;181471;465853;285139;249396;511860;195314;317040;487549;378656;403502
512.00000;986473;592604;464101;380962;369477;537340;582242;361509;414968;610687;277930;576696;339686;190297;222203;449116;516263;317731;371026;511571;163724;205097;485695;312777;428315;378425;156384;284254;545948;78553;311831;710993;447117;777635;251454;268813;742895;525905;209803;273495;625484;656236;338572;278035;308972;465218
518.00000;933535;473548;178448;125178;360369;596702;137576;150100;300012;251378;535144;206208;298090;148084;312591;280557;499624;141950;160115;144098;236095;195714;237705;169262;225796;270572;236642;364659;107230;227632;211767;177855;173027;286795;261804;168513;223141;195492;229040;188856;164106;216063;243396;119603;162296;252334
509.00000;978235;364937;551666;398622;436138;308201;516372;257729;620573;123685;556246;615203;297382;476098;422782;472810;132560;235308;503036;317793;287276;593354;283755;189667;171019;471322;289084;252411;523706;194279;489092;267330;252063;291356;357843;452348;324880;208400;400387;521743;439477;319248;149388;342115;373280;282078
514.00000;978235;381859;462626;521189;499046;443713;615411;381287;598935;369295;498146;181442;199812;303270;585087;79426;316807;709375;458851;808478;246029;267869;310840;307437;512171;774335;536893;205739;463166;303823;263871;333938;405220;368410;148769;637950;338681;276432;628733;216979;403503;458666;256896;524595;315999;215220
