;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1534;139;MT;117767;D;18;0;;0.18280;12.41660;0.11617;Rosa;517;;0
1344;120;CN;117868;E;25;0;;0.05808;8.96186;0.22071;Rosa;506;;0
1151;101;CN;111545;E;9;0;;0.54124;3.79854;0.17374;Rosa;506;;0
1773;163;MT;83754;E;2;0;;3.93635;3.78057;0.19828;Rosa;517;;0
1214;107;CN;117883;B;7;0;;0.38139;3.36471;0.06869;Rosa;506;;0
1830;169;MT;78445;C;26;0;;5.31206;3.34343;0.16052;Rosa;517;;0
1814;167;MT;111696;A;15;0;;2.05561;3.05197;0.11848;Rosa;517;;0
1726;159;MT;28434;A;16;0;;2.45024;3.01267;0.14322;Rosa;517;;0
1605;147;MT;8442;D;25;0;;1.51000;3.00300;0.14700;Rosa;517;;0
1918;178;MT;31184;C;29;0;;2.66200;2.95700;0.06800;Rosa;517;;0
274;20;LC;118246;B;17;0;;0.98835;2.90060;0.22558;Rosa;513;;0
1552;141;MT;111593;B;25;0;;4.12689;2.88940;0.12635;Rosa;517;;0
1633;149;MT;117612;B;17;0;;1.94459;2.78766;0.16241;Rosa;517;;0
1905;177;MT;10360;D;8;0;;1.52296;2.72201;0.36496;Rosa;517;;0
1776;164;MT;39708;C;3;0;;2.45518;2.61221;0.15911;Rosa;517;;0
1867;173;MT;14324;D;10;0;;3.81430;2.48432;0.09189;Rosa;517;;0
1140;100;CN;111601;B;5;0;;7.09582;2.42384;0.23686;Rosa;506;;0
1794;165;MT;117950;A;7;0;;3.76775;2.42062;0.20831;Rosa;517;;0
1279;114;CN;49600;D;23;0;;1.14904;2.36402;0.11480;Rosa;506;;0
1750;161;MT;30570;E;3;0;;3.17618;2.35696;0.27294;Rosa;517;;0
415;33;LC;118192;B;25;0;;3.36624;2.31528;0.19736;Rosa;513;;0
1516;138;MT;17642;D;8;0;;2.24304;2.30004;0.20665;Rosa;517;;0
676;57;CH;111820;B;5;0;;1.43499;2.25728;0.06711;Rosa;510;;0
406;32;LC;118103;E;27;0;;2.38734;2.25308;0.15051;Rosa;513;;0
1565;143;MT;9779;E;21;0;;2.28700;2.21700;0.08500;Rosa;517;;0
1463;132;CN;117746;A;9;0;;1.21390;2.21432;0.09924;Rosa;506;;0
1255;112;CN;14273;D;13;0;;3.90297;2.19782;0.05798;Rosa;506;;0
1100;96;CN;54381;A;18;0;;3.20714;2.14905;0.08067;Rosa;506;;0
1713;157;MT;117725;D;24;0;;1.20999;2.11115;0.06509;Rosa;517;;0
1763;162;MT;84374;C;21;0;;1.72060;2.05336;0.18597;Rosa;517;;0
1424;128;CN;117979;B;6;0;;1.19339;2.04675;0.26041;Rosa;506;;0
799;68;CH;96596;B;7;0;;1.69675;2.03032;0.19839;Rosa;510;;0
1594;145;MT;117783;B;14;0;;1.96646;2.01615;0.15470;Rosa;517;;0
1274;113;CN;97169;A;20;0;;5.93339;1.98881;0.13188;Rosa;506;;0
